Renascença:,"Bowden, Oliver,",9788501091338
1000 Questões de matemática para vestibular e concursos públicos /," Julianelli, J. R.",9788573937664
101 dálmatas /,"Mazer, Anne",9788500003059
170 técnicas arteterapêuticas:,"Acampora, Beatriz",9788578541712
1964:,,9788570194428
35 noites de paixão :,"Trevisan, Dalton,",9788577990504
47º Salão de Artes Plásticas de Pernambuco /,,
A arte de escrever /,"Schopenhauer, Arthur",9788525414649
A arte de pensar/,"Ide, Pascal",8533612958
A bagaceira :,"Almeida, Jose Americo de,",9788503002318
A Cabana /," Young, William P. ",9788599296363
A chave de casa /,"Levy, Tatiana Salem,",9788501079275
A colina dos suspiros /," Scliar, Moacyr ",9788516023508
A confissão da leoa /,"Couto, Mia,",9788535921632
A desumanização /,"Mãe, Valter Hugo,",9788540506541
A estratégia em ação :,"Kaplan, Robert S.,",8535201491 | 9788535201499
A gênese do tempo /," Cavalcanti, Carlos ",9788598896243
A glória de um covarde / ," Crane, Stephen ",9788502015586
A graça da coisa /,"Medeiros, Martha,",9788525429308
A história do amor de Fernando e Isaura /,"Suassuna, Ariano,",9788503007955
A hora da estrela /,"Lispector, Clarice,",9788532508126
A ilha do tesouro /,"Stevenson, Robert Louis,",9788508053834
A Incrível e triste história da Cândida Erêndira e sua avó desalmada /,"Garcia Marquez, Gabriel,",9788501006356
A lenda de Fernando Pessoa /," Nogueira, Lucila ",9788589507028
A língua de Eulália:,"Bagno, Marcos",9788572443975
A loucura do trabalho:,"Dejours, Christophe",9788524923463
A maldição do Titã /,"Riordan, Rick,",9788598078588
A Mansão Hollow :,"Christie, Agatha,",9788520938225
A mensageira das violetas /," Espanca, Florbela ",9788525406484
A meta-linguagem /,"Chalhub, Samira.",9788508006823
A metamorfose /," Kafka, Franz ",9788571646858
A mina de ouro /,"Christie, Agatha,",9780033050210
A morte de Ivan Ilitch ;," Tolstoi, Leão ",9798572324686
A mulher que amou demais /,"Myrna,",9788535904147
A obscena senhora D /,"Hilst, Hilda,",852503649
A organização dos bichos:,"Vils, Leonardo",381780000009
A paixão segundo G. H. :,"Lispector, Clarice,",9788532508096
A palavra mágica /," Scliar, Moacyr ",9788516055585
A primeira greve estudantil da UFPE:,"Santos, Evson Malaquias de Moraes",8564236066
A república/,Platão,9788572323987
A revolução dos bichos :,"Orwell, George,",9788535909555
A rosa do povo /,"Andrade, Carlos Drummond de,",
A Rosa do povo /,"Andrade, Carlos Drummond de,",9780000170903
A trilogia tebana :,Sofocles.,9788571100817
A vida é sonho /,"Calderon de la Barca, Pedro,",9788577150687
A volta ao mundo em 80 dias/ ," Verne, Jules ",9788532261632
"Abilio Diniz, caminhos e escolhas:"," Diniz, Abílio ",9788535214314
Acessibilidade e tecnologia assistiva:,,9788577702077
Administração :,"Bateman, Thomas S.",9788522419234
Administração:,"Sobral, Filipe",9788581430350
Administração da produção e operações /,"Moreira, Daniel Augusto.",9788522105878
Administração de materiais:,"Dias, Marco Aurélio P. ",9788522409952
Administração de materiais e das compras:,"Trigueiro, Fernando Guilhobel Rosas",9798574092552
Administração estratégica em busca do desempenho superior:," Chiavenato, Idalberto ",9788502042520
Administração financeira :,"Lemes Júnior, Antônio Barbosa,",9788535251814
Administração para empreendedores /," Maximiano, Antonio Cesar Amaru",9788576058762
Alex Rider desvenda Point Blanc /," Horowitz, Anthony ",9788574024745
Algoritmos:,"Manzano, André Luiz N. G.",9788536502212
Algoritmos e lógica de programação:,,9788522111299
Alguma poesia /,"Andrade, Carlos Drummond de,",9788535922837
A alma encantadora das ruas :,"João, do Rio,",9788535911978
Almanaque de Harry Potter e outros bruxos /," Corradini, Ana Paula ",9788587537379
Amada /,"Morrison, Toni,",9788535918939
Ancestralidade Africana no Brasil,,9788567973005
Angústia /,"Ramos, Graciliano,",9788501067128
Ansiedade:,"Cury, Augusto ",9788502218482
Antologia poética /,"Bilac, Olavo,",9788525406576
Antologia /,"Matos, Gregório de,",9788525409522
Antologia da crônica brasileira:,,8564198364
Antologia da poesia portuguesa:,,9788516039912
Antologia de contos:,,9788516039844
Antologia de contos contemporâneos:,,9788516047573
Antologia de crônicas:,,9788516047559
Antologia de poesias:,,9788516047566
Antologia do conto brasileiro :,,9788516009670
Antologia do conto brasileiro :,,9788516039929
